C53-35348-102;24/;03/201597;079;069906C1;2/200;03/2;007;0;1315/03/20;15003;73908.351605;;01/16020/
C53-35348-102;24/;03/201597;079;069907C0;1/200;03/2;007;0;1315/03/20;15003;73967.681605;;01/26020/
C53-35348-102;24/;03/201597;079;069910C0;4/200;03/2;007;0;1315/03/20;15003;73839.701605;;01/26020/
C53-35348-102;24/;03/201597;079;069918C0;4/200;03/2;007;0;1315/03/20;15003;71535.881605;;01/28820/
C53-35348-102;24/;03/201597;079;069923C0;2/200;03/2;007;0;1315/03/20;15003;7892.401605;;01/28820/
C53-35348-102;24/;03/201597;079;069924C0;3/200;03/2;007;0;1315/03/20;15003;7453.511605;;01/28820/
C53-35348-102;24/;03/201597;079;069909C0;3/200;03/2;007;0;1315/03/20;15003;73967.681605;;01/26020/
C53-35348-102;24/;03/201597;079;069919C0;5/200;03/2;007;0;1315/03/20;15003;71587.071605;;01/28820/
C53-35348-102;24/;03/201597;079;069916C0;2/200;03/2;007;0;1315/03/20;15003;71433.481605;;01/28820/
C53-35348-102;24/;03/201597;079;069908C0;2/200;03/2;007;0;1315/03/20;15003;73583.691605;;01/26020/
C53-35348-102;24/;03/201597;079;069922C0;1/200;03/2;007;0;1315/03/20;15003;7863.141605;;01/28820/
C53-35348-102;24/;03/201597;079;069915C0;1/200;03/2;007;0;1315/03/20;15003;71587.071605;;01/28820/
C53-35348-102;24/;03/201597;079;069911C0;5/200;03/2;007;0;1315/03/20;15003;73967.681605;;01/26020/
C55-12427-102;17/;11/201197;089;1044550;7/199;09/2;008;0;1407/03/20;11150;67669.181605;;01/90317/
C55-12427-102;17/;11/201197;089;1011930;8/199;06/2;008;0;1407/03/20;11150;655532.731605;;01/80317/
C55-12427-102;17/;11/201197;089;1044580;9/199;09/2;008;0;1407/03/20;11150;62924.531605;;01/98217/
C55-12427-102;17/;11/201197;089;1044570;9/199;09/2;008;0;1407/03/20;11150;67311.331605;;01/90317/
C55-12427-102;17/;11/201197;089;1044560;7/199;09/2;008;0;1407/03/20;11150;63067.671605;;01/98217/
C55-12427-102;17/;11/201197;089;1011940;1/199;06/2;008;0;1407/03/20;11150;628747.061605;;01/90317/
C55-12427-102;17/;11/201197;089;0925031;2/199;02/2;008;0;1407/03/20;11150;67538.381605;;01/88217/
C55-12427-102;17/;11/201197;089;0925021;2/199;02/2;008;0;1407/03/20;11150;618845.941605;;01/80317/
C55-12427-102;17/;11/201197;089;1011920;7/199;06/2;008;0;1407/03/20;11150;6717.001605;;01/70317/
C66-12459-102;19/;12/201497;158;0012721;2/201;01/2;015;0;0901/04/20;15002;09155.521605;;01/48020/
C66-12459-102;19/;12/201497;152;0012721;2/201;01/2;015;0;0901/04/20;15002;022888.801605;;01/40220/
C66-12459-102;19/;12/201497;142;0643531;0/201;11/2;014;0;1315/02/20;15006;537344.121605;;01/40219/
C66-12459-102;19/;12/201497;148;0643531;0/201;11/2;014;0;1315/02/20;15006;514937.641605;;01/48019/
C66-12459-102;19/;12/201497;142;0736381;1/201;12/2;014;0;0901/04/20;15002;036139.621605;;01/40218/
C66-12459-102;19/;12/201497;156;0046120;6/201;01/2;015;0;0901/04/20;15002;05876.901605;;01/48120/
C66-12459-102;19/;12/201497;148;0137420;5/201;11/2;014;0;1315/02/20;15006;5377.981605;;01/08207/
C66-12459-102;19/;12/201497;146;0288940;2/201;05/2;014;0;0931/03/20;15002;17221.751605;;01/48120/
C66-12459-102;19/;12/201497;146;0408650;3/201;07/2;014;0;0931/03/20;15002;17205.381605;;01/48118/
C66-12459-102;19/;12/201497;146;0674300;5/201;11/2;014;0;1315/02/20;15006;57316.231605;;01/48119/
C66-12459-102;19/;12/201497;142;0600980;9/201;10/2;014;0;1315/02/20;15006;535592.051605;;01/40221/
C66-12459-102;19/;12/201497;148;0600980;9/201;10/2;014;0;1315/02/20;15006;514236.821605;;01/48021/
C66-12459-102;19/;12/201497;148;0736381;1/201;12/2;014;0;0901/04/20;15002;014455.841605;;01/48018/
C87-21724-102;13/;02/201597;108;0034530;6/201;08/2;010;0;1314/03/20;15003;81568.001605;;01/08209/
C87-21724-102;13/;02/201597;103;0034530;6/201;08/2;010;0;1314/03/20;15003;83920.001605;;01/00309/
C87-21724-102;13/;02/201597;108;0051060;5/201;11/2;010;0;1314/03/20;15003;81457.401605;;01/08225/
C87-21724-102;13/;02/201597;108;0037410;4/201;08/2;010;0;1314/03/20;15003;82558.341605;;01/08217/
C87-21724-102;13/;02/201597;103;0039940;7/201;08/2;010;0;1314/03/20;15003;83520.151605;;01/00323/
